City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bechar,31.6167,-2.2167,34.18,14,55,1.03,DZ,1691569811
83,college,64.8569,-147.8028,17.55,94,100,1.54,US,1691569649
84,kamar mushani,32.8439,71.3669,41.76,27,7,1.69,PK,1691569811
85,bomi,7.2461,-11.5258,25.72,87,88,0.75,SL,1691569811
86,gokwe,-18.2048,28.9349,20.02,17,0,4.24,ZW,1691569811
87,portage,41.1667,-81.1998,18.32,82,13,3.12,US,1691569811
88,whitehorse,60.7161,-135.0538,13.43,63,75,4.12,CA,1691569812
89,valdosta,30.8327,-83.2785,23.97,94,0,1.54,US,1691569696
90,playa del ingles,27.7567,-15.5787,24.11,81,1,1.41,ES,1691569812
91,coron,11.9986,120.2043,28.63,77,60,4.39,PH,1691569812
92,lihue,21.9789,-159.3672,27.58,76,100,10.8,US,1691569812
93,puerto natales,-51.7236,-72.4875,0.34,97,100,1.14,CL,1691569731
94,lamar,33.6668,-95.5836,24.8,100,40,4.63,US,1691569812
95,udachny,66.4167,112.4,28.03,28,0,8.0,RU,1691569813
96,hermanus,-34.4187,19.2345,16.56,73,0,5.48,ZA,1691569743
97,lata,40.1629,-8.3327,20.6,45,33,1.64,PT,1691569813
98,rongelap,11.1635,166.8941,28.6,78,98,5.1,MH,1691569813
99,springbok,-29.6643,17.8865,21.44,20,0,6.84,ZA,1691569813
100,st. john's,47.5649,-52.7093,12.38,93,100,1.03,CA,1691569533
101,nalut,30.3333,10.85,31.22,21,0,4.89,LY,1691569813
102,dila,6.4167,38.3167,23.22,61,70,2.44,ET,1691569814
103,nema,57.5067,50.5011,27.1,45,2,3.2,RU,1691569814
104,sur,22.5667,59.5289,37.08,45,5,1.61,OM,1691569814
105,xuddur,4.1213,43.8894,31.07,36,13,10.2,SO,1691569814
106,luderitz,-26.6481,15.1594,24.99,36,80,3.31,NA,1691569815
107,dire dawa,9.5931,41.8661,29.04,41,55,1.93,ET,1691569815
108,kiunga,-6.1219,141.2906,25.11,75,88,1.89,PG,1691569815
109,zaozersk,69.4005,32.4476,24.01,61,0,2.72,RU,1691569815
110,qaqortoq,60.7167,-46.0333,6.96,76,30,0.88,GL,1691569815
111,meru,0.0463,37.6559,23.37,51,37,3.12,KE,1691569815
112,saldanha,-33.0117,17.9442,18.03,61,0,3.39,ZA,1691569815
113,quezon,7.7303,125.0989,25.39,92,100,1.34,PH,1691569816
114,rasskazovo,52.6714,41.9033,27.65,56,60,3.05,RU,1691569816
115,hithadhoo,-0.6,73.0833,27.61,74,100,1.31,MV,1691569782
116,port mathurin,-19.6833,63.4167,22.63,58,5,8.15,MU,1691569816
117,georgetown,5.4112,100.3354,32.96,66,20,4.63,MY,1691569767
118,pandan,14.0453,124.1694,30.93,70,97,1.76,PH,1691569816
119,lompoc,34.6391,-120.4579,15.89,94,100,0.45,US,1691569749
